,v1,v2,latitude,longitude,degradation_state
16657,23-014374,15-1-17817,-17.21,174.4,
16658,23-007316,15-1-17820,-17.306,174.12,
16659,23-002476,15-1-17815,-17.352,174.201,3
16660,23-001305,15-1-17810,-17.392,174.79,1
16661,23-004454,15-1-17814,-17.388,174.371,
16662,23-006272,15-1-17809,-17.456,174.785,
16663,23-002634,15-1-18026,-17.483,174.519,1
16664,23-017391,15-1-18035,-17.5,174.142,
16665,23-001423,15-1-18027,-17.627,174.466,1
16666,23-014615,15-1-18025,-17.667,174.608,
16667,23-002551,15-1-18036,-17.672,174.08,1
16668,23-007828,15-1-18029,-17.676,174.37,
16669,23-009251,15-1-18018,-17.678,174.776,
16670,23-016875,15-1-18028,-17.698,174.389,
16671,23-005456,15-1-18030,-17.759,174.316,
16672,23-000464,,-17.843,174.668,#N/A
16673,23-003713,15-4-10774,-17.864,174.008,
16674,23-001300,15-1-17803,-17.031,174.768,1
16675,23-014358,15-1-17813,-17.073,174.292,
16676,23-001089,15-1-17816,-17.051,174.279,2
16677,23-008135,15-1-17804,-17.152,174.69,
16678,23-014962,15-1-17811,-17.157,174.559,
16679,23-014374,15-1-17817,-17.21,174.4,
16680,23-007316,15-1-17820,-17.306,174.12,
16681,23-002476,15-1-17815,-17.352,174.201,3
16682,23-001305,15-1-17810,-17.392,174.79,1
16683,23-004454,15-1-17814,-17.388,174.371,
16684,23-006272,15-1-17809,-17.456,174.785,
16685,23-002634,15-1-18026,-17.483,174.519,1
16686,23-017391,15-1-18035,-17.5,174.142,
16687,23-001423,15-1-18027,-17.627,174.466,1
16688,23-014615,15-1-18025,-17.667,174.608,
16689,23-002551,15-1-18036,-17.672,174.08,1
16690,23-007828,15-1-18029,-17.676,174.37,
16691,23-009251,15-1-18018,-17.678,174.776,
16692,23-016875,15-1-18028,-17.698,174.389,
16693,23-005456,15-1-18030,-17.759,174.316,
16694,23-000464,,-17.843,174.668,#N/A
16695,23-003713,15-4-10774,-17.864,174.008,
16696,23-004033,15-1-17884,-17.049,178.958,
16697,23-006497,15-1-17870,-17.114,178.703,
16698,23-007173,15-1-17871,-17.177,178.718,
16699,23-012792,15-1-17872,-17.308,178.586,
