,v1,v2,latitude,longitude,degradation_state
17072,17-002760,,-18.275,-129.625,#N/A
17073,17-003019,03-1-08907,-18.634,-129.375,
17074,17-002314,03-1-08908,-18.682,-129.584,
17075,17-005435,03-1-09947,-18.947,-129.587,
17076,17-004151,03-1-08913,-18.491,-130.612,
17077,17-004151,03-1-08913,-18.491,-130.612,
17078,17-004151,03-1-08913,-18.491,-130.612,
17079,17-004151,03-1-08913,-18.491,-130.612,
17080,17-004038,03-1-08914,-18.047,-131.173,
17081,17-000058,03-1-08916,-18.444,-131.371,4
17082,17-004038,03-1-08914,-18.047,-131.173,
17083,17-000058,03-1-08916,-18.444,-131.371,4
17084,17-004038,03-1-08914,-18.047,-131.173,
17085,17-000058,03-1-08916,-18.444,-131.371,4
17086,17-004038,03-1-08914,-18.047,-131.173,
17087,17-000058,03-1-08916,-18.444,-131.371,4
17088,17-001517,03-1-08788,-18.146,-96.966,
17089,17-000116,03-1-08782,-18.291,-96.173,4
17090,17-003347,03-1-08786,-18.708,-96.652,
17091,17-002782,03-1-08785,-18.908,-96.336,
17092,17-000784,03-1-08784,-18.924,-96.23,4
17093,17-001685,03-1-10090,-18.991,-96.759,
17094,17-001517,03-1-08788,-18.146,-96.966,
17095,17-000116,03-1-08782,-18.291,-96.173,4
17096,17-003347,03-1-08786,-18.708,-96.652,
17097,17-002782,03-1-08785,-18.908,-96.336,
17098,17-000784,03-1-08784,-18.924,-96.23,4
17099,17-001685,03-1-10090,-18.991,-96.759,
17100,17-001517,03-1-08788,-18.146,-96.966,
17101,17-000116,03-1-08782,-18.291,-96.173,4
17102,17-003347,03-1-08786,-18.708,-96.652,
17103,17-002782,03-1-08785,-18.908,-96.336,
17104,17-000784,03-1-08784,-18.924,-96.23,4
17105,17-001685,03-1-10090,-18.991,-96.759,
17106,17-001517,03-1-08788,-18.146,-96.966,
17107,17-000116,03-1-08782,-18.291,-96.173,4
17108,17-003347,03-1-08786,-18.708,-96.652,
17109,17-002782,03-1-08785,-18.908,-96.336,
17110,17-000784,03-1-08784,-18.924,-96.23,4
17111,17-001685,03-1-10090,-18.991,-96.759,
17112,17-001841,03-1-08789,-18.237,-97.631,
17113,17-003552,03-1-08790,-18.271,-97.569,
17114,17-002261,03-1-08791,-18.753,-97.633,
